zaxis,yaxis,H,B,C,O,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Ni,Cu,Zn,As,Se,Ag,Sb,Ba,Pb,Bi,U
H,H,3261,203,338,3239,197,719,523,880,1051,527,530,240,343,998,202,190,435,751,64,364,225,398,25,4,36,156,229,44,279
H,B,203,203,13,202,17,53,62,57,84,4,9,31,11,94,7,4,16,21,0,4,0,2,0,0,0,7,5,0,0
H,C,338,13,338,325,15,70,57,55,49,22,34,24,15,107,2,5,17,22,14,39,17,4,0,0,0,13,27,0,40
H,O,3239,202,325,3239,194,719,523,880,1049,527,530,235,343,998,202,189,435,751,63,363,225,398,25,4,36,156,228,43,279
H,F,197,17,15,194,197,85,35,90,102,37,27,15,29,88,44,5,32,37,0,6,3,3,0,0,0,26,7,0,10
H,Na,719,53,70,719,85,719,129,220,415,94,108,57,158,275,108,27,107,164,2,19,15,40,2,0,7,55,6,1,37
H,Mg,523,62,57,523,35,129,523,194,201,89,61,35,62,158,21,23,55,132,5,20,27,45,1,0,2,15,8,1,23
H,Al,880,57,55,880,90,220,194,880,457,170,146,41,117,321,23,35,84,186,7,44,37,47,4,0,5,44,29,1,20
H,Si,1051,84,49,1049,102,415,201,457,1051,18,43,59,206,476,141,29,206,257,7,29,36,17,1,0,2,93,30,1,19
H,P,527,4,22,527,37,94,89,170,18,527,24,4,33,146,12,16,101,181,2,42,43,10,0,0,0,33,30,11,52
H,S,530,9,34,530,27,108,61,146,43,24,530,32,61,96,3,11,21,128,16,88,47,23,3,1,10,7,49,4,59
H,Cl,240,31,24,235,15,57,35,41,59,4,32,240,36,79,8,4,30,44,6,64,10,19,2,2,3,13,41,2,2
H,K,343,11,15,343,29,158,62,117,206,33,61,36,343,124,58,14,44,90,1,18,9,14,1,1,2,30,5,0,28
H,Ca,998,94,107,998,88,275,158,321,476,146,96,79,124,998,53,56,137,206,5,56,32,112,3,0,5,36,18,2,59
H,Ti,202,7,2,202,44,108,21,23,141,12,3,8,58,53,202,12,40,74,0,2,17,5,0,0,3,47,4,0,13
H,V,190,4,5,189,5,27,23,35,29,16,11,4,14,56,12,190,26,29,2,12,6,11,0,0,0,14,15,5,22
H,Mn,435,16,17,435,32,107,55,84,206,101,21,30,44,137,40,26,435,107,2,7,35,64,0,0,2,28,21,0,7
H,Fe,751,21,22,751,37,164,132,186,257,181,128,44,90,206,74,29,107,751,9,28,58,96,1,1,6,39,44,10,22
H,Ni,64,0,14,63,0,2,5,7,7,2,16,6,1,5,0,2,2,9,64,6,1,11,1,0,2,0,1,1,4
H,Cu,364,4,39,363,6,19,20,44,29,42,88,64,18,56,2,12,7,28,6,364,35,93,12,2,5,2,59,8,18
H,Zn,225,0,17,225,3,15,27,37,36,43,47,10,9,32,17,6,35,58,1,35,225,59,0,1,3,2,28,0,4
H,As,398,2,4,398,3,40,45,47,17,10,23,19,14,112,5,11,64,96,11,93,59,398,0,0,10,9,46,14,35
H,Se,25,0,0,25,0,2,1,4,1,0,3,2,1,3,0,0,0,1,1,12,0,0,25,0,0,1,7,1,7
H,Ag,4,0,0,4,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,2,1,0,0,4,1,0,2,0,0
H,Sb,36,0,0,36,0,7,2,5,2,0,10,3,2,5,3,0,2,6,2,5,3,10,0,1,36,0,4,0,0
H,Ba,156,7,13,156,26,55,15,44,93,33,7,13,30,36,47,14,28,39,0,2,2,9,1,0,0,156,2,0,14
H,Pb,229,5,27,228,7,6,8,29,30,30,49,41,5,18,4,15,21,44,1,59,28,46,7,2,4,2,229,5,28
H,Bi,44,0,0,43,0,1,1,1,1,11,4,2,0,2,0,5,0,10,1,8,0,14,1,0,0,0,5,44,7
H,U,279,0,40,279,10,37,23,20,19,52,59,2,28,59,13,22,7,22,4,18,4,35,7,0,0,14,28,7,279
B,H,203,203,13,202,17,53,62,57,84,4,9,31,11,94,7,4,16,21,0,4,0,2,0,0,0,7,5,0,0
B,B,203,302,14,296,37,66,93,86,127,8,9,38,19,120,13,6,29,43,1,6,1,8,0,0,4,14,7,0,0
B,C,13,14,14,14,1,1,7,2,4,0,0,3,0,8,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0
B,O,202,296,14,296,33,64,93,86,126,8,9,38,17,120,12,6,29,43,1,6,1,8,0,0,4,14,7,0,0
B,F,17,37,1,33,37,15,12,11,26,6,2,2,4,15,3,2,3,9,0,0,0,5,0,0,0,5,3,0,0
B,Na,53,66,1,64,15,66,15,21,44,3,3,4,7,17,4,3,7,12,0,0,0,2,0,0,0,4,0,0,0
B,Mg,62,93,7,93,12,15,93,31,33,3,1,11,4,23,3,5,6,13,0,0,0,4,0,0,3,1,2,0,0
B,Al,57,86,2,86,11,21,31,86,66,0,3,5,6,29,3,1,7,21,0,0,0,2,0,0,1,0,0,0,0
B,Si,84,127,4,126,26,44,33,66,127,4,2,8,9,49,10,4,15,29,0,0,0,3,0,0,0,14,4,0,0
B,P,4,8,0,8,6,3,3,0,4,8,0,0,0,4,2,2,2,3,0,0,0,2,0,0,0,1,0,0,0
B,S,9,9,0,9,2,3,1,3,2,0,9,2,1,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
B,Cl,31,38,3,38,2,4,11,5,8,0,2,38,4,18,3,1,4,5,0,1,1,0,0,0,0,3,3,0,0
B,K,11,19,0,17,4,7,4,6,9,0,1,4,19,5,1,0,1,0,0,0,1,0,0,0,0,2,1,0,0
B,Ca,94,120,8,120,15,17,23,29,49,4,8,18,5,120,4,0,7,16,0,2,0,5,0,0,0,5,2,0,0
B,Ti,7,13,0,12,3,4,3,3,10,2,0,3,1,4,13,1,1,6,0,0,0,0,0,0,0,6,0,0,0
B,V,4,6,0,6,2,3,5,1,4,2,0,1,0,0,1,6,0,0,0,0,0,2,0,0,0,1,0,0,0
B,Mn,16,29,1,29,3,7,6,7,15,2,0,4,1,7,1,0,29,2,0,0,0,0,0,0,3,1,1,0,0
B,Fe,21,43,0,43,9,12,13,21,29,3,2,5,0,16,6,0,2,43,1,1,0,2,0,0,1,2,0,0,0
B,Ni,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
B,Cu,4,6,1,6,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0
B,Zn,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
B,As,2,8,0,8,5,2,4,2,3,2,0,0,0,5,0,2,0,2,0,0,0,8,0,0,0,0,0,0,0
B,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,Ag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,Sb,0,4,0,4,0,0,3,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,4,0,0,0,0
B,Ba,7,14,0,14,5,4,1,0,14,1,0,3,2,5,6,1,1,2,0,0,0,0,0,0,0,14,1,0,0
B,Pb,5,7,3,7,3,0,2,0,4,0,0,3,1,2,0,0,1,0,0,0,0,0,0,0,0,1,7,0,0
B,Bi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,H,338,13,338,325,15,70,57,55,49,22,34,24,15,107,2,5,17,22,14,39,17,4,0,0,0,13,27,0,40
C,B,13,14,14,14,1,1,7,2,4,0,0,3,0,8,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0
C,C,338,14,469,441,44,112,68,60,67,30,43,33,22,155,6,5,25,33,17,43,19,4,0,0,0,32,34,3,43
C,O,325,14,441,441,44,112,68,60,66,30,43,33,22,155,5,5,25,28,14,43,19,4,0,0,0,32,34,3,43
C,F,15,1,44,44,44,17,3,4,7,5,3,2,2,24,1,1,2,1,0,0,0,0,0,0,0,13,1,1,2
C,Na,70,1,112,112,17,112,10,17,24,14,15,10,11,44,4,0,9,7,1,6,0,1,0,0,0,10,2,0,7
C,Mg,57,7,68,68,3,10,68,9,5,11,6,5,2,19,0,1,2,8,0,4,2,0,0,0,0,3,3,0,7
C,Al,55,2,60,60,4,17,9,60,21,7,9,7,5,21,0,1,2,2,1,1,1,0,0,0,0,6,4,0,0
C,Si,49,4,67,66,7,24,5,21,67,6,9,8,8,36,4,1,6,9,0,2,0,0,0,0,0,8,7,0,2
C,P,22,0,30,30,5,14,11,7,6,30,2,1,1,10,0,2,3,2,0,1,1,0,0,0,0,4,0,0,0
C,S,34,0,43,43,3,15,6,9,9,2,43,6,4,13,0,0,5,4,1,4,3,1,0,0,0,1,8,0,2
C,Cl,24,3,33,33,2,10,5,7,8,1,6,33,4,12,0,0,3,1,0,6,0,0,0,0,0,3,7,0,0
C,K,15,0,22,22,2,11,2,5,8,1,4,4,22,13,0,1,0,1,0,1,0,0,0,0,0,1,0,0,4
C,Ca,107,8,155,155,24,44,19,21,36,10,13,12,13,155,0,3,9,4,0,7,3,2,0,0,0,14,2,2,25
C,Ti,2,0,6,5,1,4,0,0,4,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0
C,V,5,0,5,5,1,0,1,1,1,2,0,0,1,3,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0
C,Mn,17,1,25,25,2,9,2,2,6,3,5,3,0,9,0,0,25,0,0,0,1,2,0,0,0,0,2,0,0
C,Fe,22,0,33,28,1,7,8,2,9,2,4,1,1,4,1,0,0,33,3,0,2,0,0,0,0,3,1,0,0
C,Ni,14,0,17,14,0,1,0,1,0,0,1,0,0,0,0,0,0,3,17,1,0,0,0,0,0,0,0,0,0
C,Cu,39,1,43,43,0,6,4,1,2,1,4,6,1,7,0,0,0,0,1,43,4,2,0,0,0,0,5,0,4
C,Zn,17,0,19,19,0,0,2,1,0,1,3,0,0,3,0,0,1,2,0,4,19,1,0,0,0,0,0,0,1
C,As,4,0,4,4,0,1,0,0,0,0,1,0,0,2,0,0,2,0,0,2,1,4,0,0,0,0,0,0,0
C,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,Ag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,Sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,Ba,13,0,32,32,13,10,3,6,8,4,1,3,1,14,1,1,0,3,0,0,0,0,0,0,0,32,0,0,0
C,Pb,27,3,34,34,1,2,3,4,7,0,8,7,0,2,0,0,2,1,0,5,0,0,0,0,0,0,34,0,1
C,Bi,0,0,3,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
C,U,40,0,43,43,2,7,7,0,2,0,2,0,4,25,0,0,0,0,0,4,1,0,0,0,0,0,1,0,43
O,H,3239,202,325,3239,194,719,523,880,1049,527,530,235,343,998,202,189,435,751,63,363,225,398,25,4,36,156,228,43,279
O,B,202,296,14,296,33,64,93,86,126,8,9,38,17,120,12,6,29,43,1,6,1,8,0,0,4,14,7,0,0
O,C,325,14,441,441,44,112,68,60,66,30,43,33,22,155,5,5,25,28,14,43,19,4,0,0,0,32,34,3,43
O,O,3239,296,441,4742,407,1082,744,1140,1603,688,661,369,521,1427,391,268,605,1085,83,486,275,520,41,8,101,250,360,84,306
O,F,194,33,44,407,407,188,84,134,216,79,40,26,58,196,77,11,42,70,0,9,3,20,0,0,1,53,15,3,12
O,Na,719,64,112,1082,188,1082,203,296,589,159,156,89,225,400,172,35,152,251,2,47,21,78,3,0,11,74,12,5,42
O,Mg,523,93,68,744,84,203,744,259,305,111,72,44,91,231,55,31,72,198,5,29,29,65,1,0,8,25,9,1,23
O,Al,880,86,60,1140,134,296,259,1140,621,190,161,61,173,419,48,39,102,245,8,51,42,60,4,0,9,51,33,1,20
O,Si,1049,126,66,1603,216,589,305,621,1603,41,63,89,303,701,232,44,270,383,8,39,54,26,1,0,8,143,49,3,21
O,P,527,8,30,688,79,159,111,190,41,688,26,13,37,209,18,18,133,230,9,45,45,13,0,0,0,47,36,12,53
O,S,530,9,43,661,40,156,72,161,63,26,661,59,104,121,3,13,26,141,16,118,54,26,4,3,20,10,74,11,59
O,Cl,235,38,33,369,26,89,44,61,89,13,59,369,58,108,12,14,37,56,6,96,14,42,13,4,10,19,82,6,2
O,K,343,17,22,521,58,225,91,173,303,37,104,58,521,166,83,20,56,121,1,44,19,29,3,1,2,35,11,1,30
O,Ca,998,120,155,1427,196,400,231,419,701,209,121,108,166,1427,115,67,172,299,9,66,40,142,3,0,18,60,32,4,67
O,Ti,202,12,5,391,77,172,55,48,232,18,3,12,83,115,391,19,58,150,0,3,18,16,0,0,4,72,10,0,19
O,V,189,6,5,268,11,35,31,39,44,18,13,14,20,67,19,268,32,39,2,30,7,18,0,1,1,22,25,8,22
O,Mn,435,29,25,605,42,152,72,102,270,133,26,37,56,172,58,32,605,147,2,11,42,74,0,0,17,32,34,0,8
O,Fe,751,43,28,1085,70,251,198,245,383,230,141,56,121,299,150,39,147,1085,14,48,63,124,1,1,22,56,65,12,30
O,Ni,63,1,14,83,0,2,5,8,8,9,16,6,1,9,0,2,2,14,83,6,1,17,1,0,3,0,1,2,4
O,Cu,363,6,43,486,9,47,29,51,39,45,118,96,44,66,3,30,11,48,6,486,39,126,22,4,9,5,73,12,18
O,Zn,225,1,19,275,3,21,29,42,54,45,54,14,19,40,18,7,42,63,1,39,275,66,3,1,5,3,36,0,4
O,As,398,8,4,520,20,78,65,60,26,13,26,42,29,142,16,18,74,124,17,126,66,520,0,2,17,11,62,18,36
O,Se,25,0,0,41,0,3,1,4,1,0,4,13,3,3,0,0,0,1,1,22,3,0,41,0,0,1,13,2,7
O,Ag,4,0,0,8,0,0,0,0,0,0,3,4,1,0,0,1,0,1,0,4,1,2,0,8,3,0,4,0,0
O,Sb,36,4,0,101,1,11,8,9,8,0,20,10,2,18,4,1,17,22,3,9,5,17,0,3,101,0,17,2,0
O,Ba,156,14,32,250,53,74,25,51,143,47,10,19,35,60,72,22,32,56,0,5,3,11,1,0,0,250,3,0,14
O,Pb,228,7,34,360,15,12,9,33,49,36,74,82,11,32,10,25,34,65,1,73,36,62,13,4,17,3,360,6,34
O,Bi,43,0,3,84,3,5,1,1,3,12,11,6,1,4,0,8,0,12,2,12,0,18,2,0,2,0,6,84,7
O,U,279,0,43,306,12,42,23,20,21,53,59,2,30,67,19,22,8,30,4,18,4,36,7,0,0,14,34,7,306
F,H,197,17,15,194,197,85,35,90,102,37,27,15,29,88,44,5,32,37,0,6,3,3,0,0,0,26,7,0,10
F,B,17,37,1,33,37,15,12,11,26,6,2,2,4,15,3,2,3,9,0,0,0,5,0,0,0,5,3,0,0
F,C,15,1,44,44,44,17,3,4,7,5,3,2,2,24,1,1,2,1,0,0,0,0,0,0,0,13,1,1,2
F,O,194,33,44,407,407,188,84,134,216,79,40,26,58,196,77,11,42,70,0,9,3,20,0,0,1,53,15,3,12
F,F,197,37,44,407,456,207,90,150,223,79,40,31,66,209,77,11,42,70,0,9,3,20,0,1,1,57,20,4,12
F,Na,85,15,17,188,207,207,35,56,124,34,14,16,32,102,61,0,30,47,0,3,3,11,0,0,1,28,2,1,3
F,Mg,35,12,3,84,90,35,90,39,51,11,8,2,14,36,3,3,3,19,0,1,0,8,0,0,0,6,1,0,2
F,Al,90,11,4,134,150,56,39,150,60,30,21,5,19,64,2,3,7,21,0,4,0,5,0,0,0,8,3,0,5
F,Si,102,26,7,216,223,124,51,60,223,17,6,10,57,118,65,2,33,55,0,0,1,3,0,0,0,34,3,0,0
F,P,37,6,5,79,79,34,11,30,17,79,2,1,2,40,11,4,8,10,0,3,0,2,0,0,0,15,2,0,1
F,S,27,2,3,40,40,14,8,21,6,2,40,9,6,18,0,0,2,0,0,0,0,0,0,0,0,1,3,0,3
F,Cl,15,2,2,26,31,16,2,5,10,1,9,31,4,13,3,0,4,2,0,4,0,3,0,1,0,5,7,0,0
F,K,29,4,2,58,66,32,14,19,57,2,6,4,66,27,15,0,12,14,0,0,0,0,0,0,0,8,1,0,0
F,Ca,88,15,24,196,209,102,36,64,118,40,18,13,27,209,30,4,17,27,0,1,0,9,0,0,1,21,5,1,4
F,Ti,44,3,1,77,77,61,3,2,65,11,0,3,15,30,77,3,21,27,0,1,3,3,0,0,0,24,1,0,2
F,V,5,2,1,11,11,0,3,3,2,4,0,0,0,4,3,11,0,2,0,2,0,3,0,0,0,3,0,0,2
F,Mn,32,3,2,42,42,30,3,7,33,8,2,4,12,17,21,0,42,9,0,0,1,0,0,0,0,10,1,0,0
F,Fe,37,9,1,70,70,47,19,21,55,10,0,2,14,27,27,2,9,70,0,0,2,5,0,0,0,12,1,0,2
F,Ni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Cu,6,0,0,9,9,3,1,4,0,3,0,4,0,1,1,2,0,0,0,9,0,3,0,0,0,0,0,0,0
F,Zn,3,0,0,3,3,3,0,0,1,0,0,0,0,0,3,0,1,2,0,0,3,0,0,0,0,1,1,0,0
F,As,3,5,0,20,20,11,8,5,3,2,0,3,0,9,3,3,0,5,0,3,0,20,0,0,0,1,0,0,2
F,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,Ag,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
F,Sb,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
F,Ba,26,5,13,53,57,28,6,8,34,15,1,5,8,21,24,3,10,12,0,0,1,1,0,0,0,57,1,0,0
F,Pb,7,3,1,15,20,2,1,3,3,2,3,7,1,5,1,0,1,1,0,0,1,0,0,1,0,1,20,0,1
F,Bi,0,0,1,3,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
F,U,10,0,2,12,12,3,2,5,0,1,3,0,0,4,2,2,0,2,0,0,0,2,0,0,0,0,1,0,12
Na,H,719,53,70,719,85,719,129,220,415,94,108,57,158,275,108,27,107,164,2,19,15,40,2,0,7,55,6,1,37
Na,B,53,66,1,64,15,66,15,21,44,3,3,4,7,17,4,3,7,12,0,0,0,2,0,0,0,4,0,0,0
Na,C,70,1,112,112,17,112,10,17,24,14,15,10,11,44,4,0,9,7,1,6,0,1,0,0,0,10,2,0,7
Na,O,719,64,112,1082,188,1082,203,296,589,159,156,89,225,400,172,35,152,251,2,47,21,78,3,0,11,74,12,5,42
Na,F,85,15,17,188,207,207,35,56,124,34,14,16,32,102,61,0,30,47,0,3,3,11,0,0,1,28,2,1,3
Na,Na,719,66,112,1082,207,1106,206,305,592,159,158,92,230,405,172,35,153,253,2,48,22,78,3,0,11,75,12,5,42
Na,Mg,129,15,10,203,35,206,206,83,111,31,17,7,43,80,17,11,19,59,0,7,1,25,1,0,0,5,1,0,2
Na,Al,220,21,17,296,56,305,83,305,212,46,42,26,75,142,7,4,24,69,0,4,4,12,0,0,0,13,2,0,1
Na,Si,415,44,24,589,124,592,111,212,592,22,30,44,166,247,151,8,98,145,0,3,13,4,0,0,0,50,0,0,3
Na,P,94,3,14,159,34,159,31,46,22,159,3,4,13,59,12,2,34,55,0,4,0,3,0,0,0,15,1,0,2
