zaxis,yaxis,H,B,C,O,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Ni,Cu,Zn,As,Se,Ag,Sb,Ba,Pb,Bi,U
Mn,Zn,35,0,1,42,1,3,13,9,16,11,2,1,4,6,4,1,43,22,0,0,43,8,0,0,1,0,6,0,1
Mn,As,64,0,2,74,0,11,11,5,16,1,6,4,0,17,0,1,80,10,0,4,8,80,0,3,7,1,7,0,0
Mn,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mn,Ag,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,1,0,0,0,3,0,7,5,0,4,0,0
Mn,Sb,2,3,0,17,0,0,3,1,6,0,11,0,0,2,1,0,28,5,0,1,1,7,0,5,28,0,7,0,0
Mn,Ba,28,1,0,32,10,11,3,2,21,5,1,6,7,9,11,2,32,8,0,0,0,1,0,0,0,32,1,0,0
Mn,Pb,21,1,2,34,1,2,2,3,7,1,10,4,0,3,6,5,41,15,0,0,6,7,0,4,7,1,41,0,2
Mn,Bi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Mn,U,7,0,0,8,0,1,0,0,0,2,2,0,1,0,4,4,8,4,0,0,1,0,0,0,0,0,2,0,8
Fe,H,751,21,22,751,37,164,132,186,257,181,128,44,90,206,74,29,107,751,9,28,58,96,1,1,6,39,44,10,22
Fe,B,21,43,0,43,9,12,13,21,29,3,2,5,0,16,6,0,2,43,1,1,0,2,0,0,1,2,0,0,0
Fe,C,22,0,33,28,1,7,8,2,9,2,4,1,1,4,1,0,0,33,3,0,2,0,0,0,0,3,1,0,0
Fe,O,751,43,28,1085,70,251,198,245,383,230,141,56,121,299,150,39,147,1085,14,48,63,124,1,1,22,56,65,12,30
Fe,F,37,9,1,70,70,47,19,21,55,10,0,2,14,27,27,2,9,70,0,0,2,5,0,0,0,12,1,0,2
Fe,Na,164,12,7,251,47,253,59,69,145,55,19,24,52,98,49,4,44,253,0,12,3,28,0,0,0,18,5,0,2
Fe,Mg,132,13,8,198,19,59,198,82,98,28,16,6,33,71,35,2,25,198,2,6,17,15,0,0,3,9,4,1,1
Fe,Al,186,21,2,245,21,69,82,250,145,45,18,5,37,111,27,5,27,250,2,8,17,11,0,0,2,8,7,0,1
Fe,Si,257,29,9,383,55,145,98,145,392,8,4,27,69,169,74,3,56,392,1,4,9,9,0,0,3,36,10,1,0
Fe,P,181,3,2,230,10,55,28,45,8,240,8,1,14,65,4,1,65,240,8,6,18,2,0,0,0,8,10,3,6
Fe,S,128,2,4,141,0,19,16,18,4,8,255,10,30,8,2,1,3,255,20,72,19,20,1,18,18,4,26,10,7
Fe,Cl,44,5,1,56,2,24,6,5,27,1,10,63,15,23,6,0,10,63,4,6,1,5,0,0,0,7,8,1,0
Fe,K,90,0,1,121,14,52,33,37,69,14,30,15,131,29,26,2,14,131,2,11,3,6,0,1,1,10,2,1,1
Fe,Ca,206,16,4,299,27,98,71,111,169,65,8,23,29,299,39,8,51,299,2,7,9,29,0,0,5,12,5,1,5
Fe,Ti,74,6,1,150,27,49,35,27,74,4,2,6,26,39,153,8,22,153,0,0,9,7,0,0,1,26,8,0,11
Fe,V,29,0,0,39,2,4,2,5,3,1,1,0,2,8,8,39,5,39,0,5,1,1,0,0,0,2,7,0,5
Fe,Mn,107,2,0,147,9,44,25,27,56,65,3,10,14,51,22,5,149,149,0,2,22,10,0,1,5,8,15,0,4
Fe,Fe,751,43,33,1085,70,253,198,250,392,240,255,63,131,299,153,39,149,1262,48,115,74,141,7,19,39,58,83,21,30
Fe,Ni,9,1,3,14,0,0,2,2,1,8,20,4,2,2,0,0,0,48,48,7,0,3,0,1,1,2,3,0,0
Fe,Cu,28,1,0,48,0,12,6,8,4,6,72,6,11,7,0,5,2,115,7,115,9,28,3,6,7,2,16,10,0
Fe,Zn,58,0,2,63,2,3,17,17,9,18,19,1,3,9,9,1,22,74,0,9,74,17,0,1,1,0,9,0,1
Fe,As,96,2,0,124,5,28,15,11,9,2,20,5,6,29,7,1,10,141,3,28,17,141,1,2,3,3,15,5,3
Fe,Se,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,3,0,1,7,1,0,0,0,0,0
Fe,Ag,1,0,0,1,0,0,0,0,0,0,18,0,1,0,0,0,1,19,1,6,1,2,1,19,6,0,2,1,0
Fe,Sb,6,1,0,22,0,0,3,2,3,0,18,0,1,5,1,0,5,39,1,7,1,3,0,6,39,0,9,6,0
Fe,Ba,39,2,3,56,12,18,9,8,36,8,4,7,10,12,26,2,8,58,2,2,0,3,0,0,0,58,2,0,0
Fe,Pb,44,0,1,65,1,5,4,7,10,10,26,8,2,5,8,7,15,83,3,16,9,15,0,2,9,2,83,8,5
Fe,Bi,10,0,0,12,0,0,1,0,1,3,10,1,1,1,0,0,0,21,0,10,0,5,0,1,6,0,8,21,0
Fe,U,22,0,0,30,2,2,1,1,0,6,7,0,1,5,11,5,4,30,0,0,1,3,0,0,0,0,5,0,30
Ni,H,64,0,14,63,0,2,5,7,7,2,16,6,1,5,0,2,2,9,64,6,1,11,1,0,2,0,1,1,4
Ni,B,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Ni,C,14,0,17,14,0,1,0,1,0,0,1,0,0,0,0,0,0,3,17,1,0,0,0,0,0,0,0,0,0
Ni,O,63,1,14,83,0,2,5,8,8,9,16,6,1,9,0,2,2,14,83,6,1,17,1,0,3,0,1,2,4
Ni,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ni,Na,2,0,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Ni,Mg,5,0,0,5,0,0,5,1,2,0,1,0,0,1,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0
Ni,Al,7,0,1,8,0,0,1,10,2,0,3,0,0,0,0,1,0,2,10,2,0,0,0,0,0,0,0,0,0
Ni,Si,7,0,0,8,0,0,2,2,10,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0
Ni,P,2,0,0,9,0,0,0,0,1,24,0,0,0,5,0,1,0,8,24,0,0,0,0,0,0,0,0,0,0
Ni,S,16,0,1,16,0,1,1,3,0,0,65,2,3,0,0,0,0,20,65,14,0,7,0,1,7,2,5,6,1
Ni,Cl,6,0,0,6,0,0,0,0,0,0,2,8,1,0,0,0,0,4,8,3,0,0,0,0,0,0,0,0,0
Ni,K,1,0,0,1,0,0,0,0,0,0,3,1,3,0,0,0,0,2,3,2,0,0,0,0,0,1,0,0,0
Ni,Ca,5,0,0,9,0,0,1,0,0,5,0,0,0,9,0,0,1,2,9,0,0,3,0,0,0,0,0,0,0
Ni,Ti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ni,V,2,0,0,2,0,0,0,1,0,1,0,0,0,0,0,3,0,0,3,0,1,0,0,0,0,0,0,0,0
Ni,Mn,2,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
Ni,Fe,9,1,3,14,0,0,2,2,1,8,20,4,2,2,0,0,0,48,48,7,0,3,0,1,1,2,3,0,0
Ni,Ni,64,1,17,83,0,2,5,10,10,24,65,8,3,9,0,3,2,48,192,22,1,39,11,1,14,2,6,9,4
Ni,Cu,6,0,1,6,0,0,0,2,0,0,14,3,2,0,0,0,0,7,22,22,0,2,3,0,3,2,2,1,0
Ni,Zn,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Ni,As,11,0,0,17,0,0,0,0,0,0,7,0,0,3,0,0,0,3,39,2,0,39,1,0,1,0,1,3,3
Ni,Se,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,1,11,0,0,0,0,0,0
Ni,Ag,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Ni,Sb,2,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,1,14,3,0,1,0,0,14,0,1,1,0
Ni,Ba,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,2,2,0,0,0,0,0,2,1,0,0
Ni,Pb,1,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,3,6,2,0,1,0,0,1,1,6,1,0
Ni,Bi,1,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,1,0,3,0,0,1,0,1,9,0
Ni,U,4,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,4
Cu,H,364,4,39,363,6,19,20,44,29,42,88,64,18,56,2,12,7,28,6,364,35,93,12,2,5,2,59,8,18
Cu,B,4,6,1,6,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0
Cu,C,39,1,43,43,0,6,4,1,2,1,4,6,1,7,0,0,0,0,1,43,4,2,0,0,0,0,5,0,4
Cu,O,363,6,43,486,9,47,29,51,39,45,118,96,44,66,3,30,11,48,6,486,39,126,22,4,9,5,73,12,18
Cu,F,6,0,0,9,9,3,1,4,0,3,0,4,0,1,1,2,0,0,0,9,0,3,0,0,0,0,0,0,0
Cu,Na,19,0,6,47,3,48,7,4,3,4,13,14,11,15,2,1,0,12,0,48,2,21,1,0,1,0,2,1,0
Cu,Mg,20,0,4,29,1,7,29,4,3,2,7,5,2,6,0,1,0,6,0,29,1,6,0,0,0,0,1,0,1
Cu,Al,44,0,1,51,4,4,4,56,8,7,20,7,6,8,0,3,0,8,2,56,0,15,1,0,3,1,6,0,0
Cu,Si,29,0,2,39,0,3,3,8,39,0,5,2,5,10,1,0,3,4,0,39,1,2,0,0,0,4,7,0,1
Cu,P,42,0,1,45,3,4,2,7,0,45,4,3,0,8,0,2,0,6,0,45,6,4,0,0,0,0,6,2,3
Cu,S,88,0,4,118,0,13,7,20,5,4,322,13,23,12,0,5,2,72,14,322,29,52,11,45,47,2,80,48,2
Cu,Cl,64,1,6,96,4,14,5,7,2,3,13,101,17,14,1,6,2,6,3,101,7,16,11,3,4,0,21,3,0
Cu,K,18,0,1,44,0,11,2,6,5,0,23,17,50,7,0,2,0,11,2,50,1,10,2,2,2,2,5,1,0
Cu,Ca,56,2,7,66,1,15,6,8,10,8,12,14,7,67,0,1,0,7,0,67,5,27,1,0,2,1,6,2,3
Cu,Ti,2,0,0,3,1,2,0,0,1,0,0,1,0,0,3,0,0,0,0,3,0,2,0,0,1,0,0,0,0
Cu,V,12,0,0,30,2,1,1,3,0,2,5,6,2,1,0,35,0,5,0,35,0,4,0,0,1,1,2,2,1
Cu,Mn,7,0,0,11,0,0,0,0,3,0,2,2,0,0,0,0,12,2,0,12,0,4,0,0,1,0,0,0,0
Cu,Fe,28,1,0,48,0,12,6,8,4,6,72,6,11,7,0,5,2,115,7,115,9,28,3,6,7,2,16,10,0
Cu,Ni,6,0,1,6,0,0,0,2,0,0,14,3,2,0,0,0,0,7,22,22,0,2,3,0,3,2,2,1,0
Cu,Cu,364,6,43,486,9,48,29,56,39,45,322,101,50,67,3,35,12,115,22,779,60,178,68,57,61,7,138,67,18
Cu,Zn,35,0,4,39,0,2,1,0,1,6,29,7,1,5,0,0,0,9,0,60,60,20,2,5,3,0,5,0,0
Cu,As,93,0,2,126,3,21,6,15,2,4,52,16,10,27,2,4,4,28,2,178,20,178,3,14,13,0,20,4,2
Cu,Se,12,0,0,22,0,1,0,1,0,0,11,11,2,1,0,0,0,3,3,68,2,3,68,6,7,0,20,16,3
Cu,Ag,2,0,0,4,0,0,0,0,0,0,45,3,2,0,0,0,0,6,0,57,5,14,6,57,16,0,21,13,0
Cu,Sb,5,0,0,9,0,1,0,3,0,0,47,4,2,2,1,1,1,7,3,61,3,13,7,16,61,0,21,7,0
Cu,Ba,2,0,0,5,0,0,0,1,4,0,2,0,2,1,0,1,0,2,2,7,0,0,0,0,0,7,1,0,0
Cu,Pb,59,0,5,73,0,2,1,6,7,6,80,21,5,6,0,2,0,16,2,138,5,20,20,21,21,1,138,44,1
Cu,Bi,8,0,0,12,0,1,0,0,0,2,48,3,1,2,0,2,0,10,1,67,0,4,16,13,7,0,44,67,0
Cu,U,18,0,4,18,0,0,1,0,1,3,2,0,0,3,0,1,0,0,0,18,0,2,3,0,0,0,1,0,18
Zn,H,225,0,17,225,3,15,27,37,36,43,47,10,9,32,17,6,35,58,1,35,225,59,0,1,3,2,28,0,4
Zn,B,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Zn,C,17,0,19,19,0,0,2,1,0,1,3,0,0,3,0,0,1,2,0,4,19,1,0,0,0,0,0,0,1
Zn,O,225,1,19,275,3,21,29,42,54,45,54,14,19,40,18,7,42,63,1,39,275,66,3,1,5,3,36,0,4
Zn,F,3,0,0,3,3,3,0,0,1,0,0,0,0,0,3,0,1,2,0,0,3,0,0,0,0,1,1,0,0
Zn,Na,15,0,0,21,3,22,1,4,13,0,5,1,5,2,7,0,3,3,0,2,22,2,0,0,0,2,1,0,0
Zn,Mg,27,0,2,29,0,1,29,13,8,5,2,1,2,3,3,0,13,17,0,1,29,5,0,0,1,0,1,0,0
Zn,Al,37,0,1,42,0,4,13,42,13,5,7,0,6,2,5,2,9,17,0,0,42,4,0,0,1,0,1,0,0
Zn,Si,36,0,0,54,1,13,8,13,54,1,4,1,12,11,8,1,16,9,0,1,54,7,0,0,1,3,6,0,0
Zn,P,43,0,1,45,0,0,5,5,1,45,1,0,0,11,0,0,11,18,0,6,45,3,0,0,0,0,5,0,0
Zn,S,47,0,3,54,0,5,2,7,4,1,81,2,3,4,0,0,2,19,0,29,81,8,0,8,4,0,8,0,1
Zn,Cl,10,1,0,14,0,1,1,0,1,0,2,16,6,0,0,0,1,1,0,7,16,2,2,1,0,0,3,0,0
Zn,K,9,1,0,19,0,5,2,6,12,0,3,6,21,3,3,0,4,3,0,1,21,2,1,0,0,0,1,0,0
Zn,Ca,32,0,3,40,0,2,3,2,11,11,4,0,3,40,0,0,6,9,0,5,40,10,0,0,0,0,2,0,1
Zn,Ti,17,0,0,18,3,7,3,5,8,0,0,0,3,0,18,1,4,9,0,0,18,0,0,0,0,2,3,0,1
Zn,V,6,0,0,7,0,0,0,2,1,0,0,0,0,0,1,7,1,1,1,0,7,0,0,0,0,0,3,0,1
Zn,Mn,35,0,1,42,1,3,13,9,16,11,2,1,4,6,4,1,43,22,0,0,43,8,0,0,1,0,6,0,1
Zn,Fe,58,0,2,63,2,3,17,17,9,18,19,1,3,9,9,1,22,74,0,9,74,17,0,1,1,0,9,0,1
Zn,Ni,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Zn,Cu,35,0,4,39,0,2,1,0,1,6,29,7,1,5,0,0,0,9,0,60,60,20,2,5,3,0,5,0,0
Zn,Zn,225,1,19,275,3,22,29,42,54,45,81,16,21,40,18,7,43,74,1,60,310,74,5,9,9,3,36,0,4
Zn,As,59,0,1,66,0,2,5,4,7,3,8,2,2,10,0,0,8,17,0,20,74,74,1,3,1,0,14,0,1
Zn,Se,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,5,1,5,0,0,0,1,0,0
Zn,Ag,1,0,0,1,0,0,0,0,0,0,8,1,0,0,0,0,0,1,0,5,9,3,0,9,3,0,1,0,0
Zn,Sb,3,0,0,5,0,0,1,1,1,0,4,0,0,0,0,0,1,1,0,3,9,1,0,3,9,0,1,0,0
Zn,Ba,2,0,0,3,1,2,0,0,3,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,3,0,0,0
Zn,Pb,28,0,0,36,1,1,1,1,6,5,8,3,1,2,3,3,6,9,0,5,36,14,1,1,1,0,36,0,1
Zn,Bi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zn,U,4,0,1,4,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,0,0,1,0,4
As,H,398,2,4,398,3,40,45,47,17,10,23,19,14,112,5,11,64,96,11,93,59,398,0,0,10,9,46,14,35
As,B,2,8,0,8,5,2,4,2,3,2,0,0,0,5,0,2,0,2,0,0,0,8,0,0,0,0,0,0,0
As,C,4,0,4,4,0,1,0,0,0,0,1,0,0,2,0,0,2,0,0,2,1,4,0,0,0,0,0,0,0
As,O,398,8,4,520,20,78,65,60,26,13,26,42,29,142,16,18,74,124,17,126,66,520,0,2,17,11,62,18,36
As,F,3,5,0,20,20,11,8,5,3,2,0,3,0,9,3,3,0,5,0,3,0,20,0,0,0,1,0,0,2
As,Na,40,2,1,78,11,78,25,12,4,3,2,14,9,34,6,3,11,28,0,21,2,78,0,0,3,0,2,0,1
As,Mg,45,4,0,65,8,25,65,9,7,2,0,4,2,27,1,3,11,15,0,6,5,65,0,0,0,0,2,1,4
As,Al,47,2,0,60,5,12,9,60,8,0,7,2,8,10,3,1,5,11,0,15,4,60,0,0,0,3,3,0,2
As,Si,17,3,0,26,3,4,7,8,26,0,1,3,1,5,2,2,16,9,0,2,7,26,0,0,1,0,3,0,0
As,P,10,2,0,13,2,3,2,0,0,13,0,1,1,2,0,3,1,2,0,4,3,13,0,0,0,0,2,1,1
As,S,23,0,1,26,0,2,0,7,1,0,194,5,2,1,0,2,6,20,7,52,8,194,1,50,57,1,68,6,0
As,Cl,19,0,0,42,3,14,4,2,3,1,5,47,5,13,1,4,4,5,0,16,2,47,0,1,3,1,19,2,0
As,K,14,0,0,29,0,9,2,8,1,1,2,5,29,4,4,1,0,6,0,10,2,29,0,0,1,0,1,0,2
As,Ca,112,5,2,142,9,34,27,10,5,2,1,13,4,142,3,7,17,29,3,27,10,142,0,0,4,1,4,1,4
As,Ti,5,0,0,16,3,6,1,3,2,0,0,1,4,3,16,3,0,7,0,2,0,16,0,0,1,1,1,0,1
As,V,11,2,0,18,3,3,3,1,2,3,2,4,1,7,3,20,1,1,0,4,0,20,0,0,1,1,3,0,0
As,Mn,64,0,2,74,0,11,11,5,16,1,6,4,0,17,0,1,80,10,0,4,8,80,0,3,7,1,7,0,0
As,Fe,96,2,0,124,5,28,15,11,9,2,20,5,6,29,7,1,10,141,3,28,17,141,1,2,3,3,15,5,3
As,Ni,11,0,0,17,0,0,0,0,0,0,7,0,0,3,0,0,0,3,39,2,0,39,1,0,1,0,1,3,3
As,Cu,93,0,2,126,3,21,6,15,2,4,52,16,10,27,2,4,4,28,2,178,20,178,3,14,13,0,20,4,2
As,Zn,59,0,1,66,0,2,5,4,7,3,8,2,2,10,0,0,8,17,0,20,74,74,1,3,1,0,14,0,1
As,As,398,8,4,520,20,78,65,60,26,13,194,47,29,142,16,20,80,141,39,178,74,750,6,53,76,11,125,25,36
As,Se,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,1,6,6,0,0,0,0,0,0
As,Ag,0,0,0,2,0,0,0,0,0,0,50,1,0,0,0,0,3,2,0,14,3,53,0,53,20,0,20,0,0
As,Sb,10,0,0,17,0,3,0,0,1,0,57,3,1,4,1,1,7,3,1,13,1,76,0,20,76,0,32,2,0
As,Ba,9,0,0,11,1,0,0,3,0,0,1,1,0,1,1,1,1,3,0,0,0,11,0,0,0,11,0,0,2
As,Pb,46,0,0,62,0,2,2,3,3,2,68,19,1,4,1,3,7,15,1,20,14,125,0,20,32,0,125,6,3
As,Bi,14,0,0,18,0,0,1,0,0,1,6,2,0,1,0,0,0,5,3,4,0,25,0,0,2,0,6,25,4
As,U,35,0,0,36,2,1,4,2,0,1,0,0,2,4,1,0,0,3,3,2,1,36,0,0,0,2,3,4,36
Se,H,25,0,0,25,0,2,1,4,1,0,3,2,1,3,0,0,0,1,1,12,0,0,25,0,0,1,7,1,7
Se,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Se,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Se,O,25,0,0,41,0,3,1,4,1,0,4,13,3,3,0,0,0,1,1,22,3,0,41,0,0,1,13,2,7
Se,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Se,Na,2,0,0,3,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1
Se,Mg,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Se,Al,4,0,0,4,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0
Se,Si,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Se,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Se,S,3,0,0,4,0,0,0,0,0,0,20,0,0,1,0,0,0,1,0,11,0,1,20,4,1,0,13,12,0
Se,Cl,2,0,0,13,0,1,0,1,0,0,0,13,2,0,0,0,0,0,0,11,2,0,13,0,0,0,4,1,0
Se,K,1,0,0,3,0,1,1,0,0,0,0,2,3,0,0,0,0,0,0,2,1,0,3,0,0,0,1,0,0
Se,Ca,3,0,0,3,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,3,0,0,0,1,0,1
Se,Ti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Se,V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Se,Mn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Se,Fe,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,3,0,1,7,1,0,0,0,0,0
Se,Ni,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,1,11,0,0,0,0,0,0
Se,Cu,12,0,0,22,0,1,0,1,0,0,11,11,2,1,0,0,0,3,3,68,2,3,68,6,7,0,20,16,3
Se,Zn,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,5,1,5,0,0,0,1,0,0
