zaxis,yaxis,H,B,C,O,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Ni,Cu,Zn,As,Se,Ag,Sb,Ba,Pb,Bi,U
Se,As,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,1,6,6,0,0,0,0,0,0
Se,Se,25,0,0,41,0,3,1,4,1,0,20,13,3,3,0,0,0,7,11,68,5,6,145,15,10,1,31,32,7
Se,Ag,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,6,0,0,15,15,2,0,3,4,0
Se,Sb,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,10,2,10,0,0,0,0
Se,Ba,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Se,Pb,7,0,0,13,0,0,0,0,0,0,13,4,1,1,0,0,0,0,0,20,1,0,31,3,0,0,31,18,1
Se,Bi,1,0,0,2,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,16,0,0,32,4,0,0,18,32,0
Se,U,7,0,0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,7,0,0,1,1,0,7
Ag,H,4,0,0,4,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,2,1,0,0,4,1,0,2,0,0
Ag,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag,O,4,0,0,8,0,0,0,0,0,0,3,4,1,0,0,1,0,1,0,4,1,2,0,8,3,0,4,0,0
Ag,F,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Ag,Na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag,Mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag,Al,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag,Si,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag,S,1,0,0,3,0,0,0,0,0,0,157,4,1,0,0,0,7,18,1,45,8,50,4,157,63,0,61,32,0
Ag,Cl,2,0,0,4,1,0,0,0,0,0,4,9,1,0,0,0,0,0,0,3,1,1,0,9,1,0,4,0,0
Ag,K,1,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,2,0,0,0,2,1,0,1,0,0
Ag,Ca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag,Ti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag,V,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Ag,Mn,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,1,0,0,0,3,0,7,5,0,4,0,0
Ag,Fe,1,0,0,1,0,0,0,0,0,0,18,0,1,0,0,0,1,19,1,6,1,2,1,19,6,0,2,1,0
Ag,Ni,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Ag,Cu,2,0,0,4,0,0,0,0,0,0,45,3,2,0,0,0,0,6,0,57,5,14,6,57,16,0,21,13,0
Ag,Zn,1,0,0,1,0,0,0,0,0,0,8,1,0,0,0,0,0,1,0,5,9,3,0,9,3,0,1,0,0
Ag,As,0,0,0,2,0,0,0,0,0,0,50,1,0,0,0,0,3,2,0,14,3,53,0,53,20,0,20,0,0
Ag,Se,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,6,0,0,15,15,2,0,3,4,0
Ag,Ag,4,0,0,8,1,0,0,0,0,0,157,9,2,0,0,1,7,19,1,57,9,53,15,210,69,0,70,37,0
Ag,Sb,1,0,0,3,0,0,0,0,0,0,63,1,1,0,0,0,5,6,0,16,3,20,2,69,69,0,35,7,0
Ag,Ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag,Pb,2,0,0,4,1,0,0,0,0,0,61,4,1,0,0,0,4,2,0,21,1,20,3,70,35,0,70,27,0
Ag,Bi,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,1,0,13,0,0,4,37,7,0,27,37,0
Ag,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sb,H,36,0,0,36,0,7,2,5,2,0,10,3,2,5,3,0,2,6,2,5,3,10,0,1,36,0,4,0,0
Sb,B,0,4,0,4,0,0,3,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,4,0,0,0,0
Sb,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sb,O,36,4,0,101,1,11,8,9,8,0,20,10,2,18,4,1,17,22,3,9,5,17,0,3,101,0,17,2,0
Sb,F,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sb,Na,7,0,0,11,1,11,0,0,0,0,3,1,1,1,1,0,0,0,0,1,0,3,0,0,11,0,0,0,0
Sb,Mg,2,3,0,8,0,0,8,2,1,0,0,0,0,1,0,0,3,3,0,0,1,0,0,0,8,0,0,0,0
Sb,Al,5,1,0,9,0,0,2,9,2,0,2,1,0,2,0,0,1,2,0,3,1,0,0,0,9,0,1,0,0
Sb,Si,2,0,0,8,0,0,1,2,8,0,0,0,0,1,0,0,6,3,0,0,1,1,0,0,8,0,0,0,0
Sb,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sb,S,10,0,0,20,0,3,0,2,0,0,181,6,4,2,0,2,11,18,7,47,4,57,1,63,181,0,92,17,0
Sb,Cl,3,0,0,10,0,1,0,1,0,0,6,13,0,2,0,0,0,0,0,4,0,3,0,1,13,0,9,0,0
Sb,K,2,0,0,2,0,1,0,0,0,0,4,0,4,0,0,0,0,1,0,2,0,1,0,1,4,0,1,0,0
Sb,Ca,5,0,0,18,1,1,1,2,1,0,2,2,0,18,2,0,2,5,0,2,0,4,0,0,18,0,1,0,0
Sb,Ti,3,0,0,4,0,1,0,0,0,0,0,0,0,2,4,0,1,1,0,1,0,1,0,0,4,0,0,0,0
Sb,V,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,1,0,0,3,0,1,0,0
Sb,Mn,2,3,0,17,0,0,3,1,6,0,11,0,0,2,1,0,28,5,0,1,1,7,0,5,28,0,7,0,0
Sb,Fe,6,1,0,22,0,0,3,2,3,0,18,0,1,5,1,0,5,39,1,7,1,3,0,6,39,0,9,6,0
Sb,Ni,2,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,1,14,3,0,1,0,0,14,0,1,1,0
Sb,Cu,5,0,0,9,0,1,0,3,0,0,47,4,2,2,1,1,1,7,3,61,3,13,7,16,61,0,21,7,0
Sb,Zn,3,0,0,5,0,0,1,1,1,0,4,0,0,0,0,0,1,1,0,3,9,1,0,3,9,0,1,0,0
Sb,As,10,0,0,17,0,3,0,0,1,0,57,3,1,4,1,1,7,3,1,13,1,76,0,20,76,0,32,2,0
Sb,Se,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,10,2,10,0,0,0,0
Sb,Ag,1,0,0,3,0,0,0,0,0,0,63,1,1,0,0,0,5,6,0,16,3,20,2,69,69,0,35,7,0
Sb,Sb,36,4,0,101,1,11,8,9,8,0,181,13,4,18,4,3,28,39,14,61,9,76,10,69,305,0,103,20,0
Sb,Ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sb,Pb,4,0,0,17,0,0,0,1,0,0,92,9,1,1,0,1,7,9,1,21,1,32,0,35,103,0,103,15,0
Sb,Bi,0,0,0,2,0,0,0,0,0,0,17,0,0,0,0,0,0,6,1,7,0,2,0,7,20,0,15,20,0
Sb,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ba,H,156,7,13,156,26,55,15,44,93,33,7,13,30,36,47,14,28,39,0,2,2,9,1,0,0,156,2,0,14
Ba,B,7,14,0,14,5,4,1,0,14,1,0,3,2,5,6,1,1,2,0,0,0,0,0,0,0,14,1,0,0
Ba,C,13,0,32,32,13,10,3,6,8,4,1,3,1,14,1,1,0,3,0,0,0,0,0,0,0,32,0,0,0
Ba,O,156,14,32,250,53,74,25,51,143,47,10,19,35,60,72,22,32,56,0,5,3,11,1,0,0,250,3,0,14
Ba,F,26,5,13,53,57,28,6,8,34,15,1,5,8,21,24,3,10,12,0,0,1,1,0,0,0,57,1,0,0
Ba,Na,55,4,10,74,28,75,5,13,50,15,2,3,23,25,39,0,11,18,0,0,2,0,0,0,0,75,1,0,2
Ba,Mg,15,1,3,25,6,5,26,10,10,6,0,2,4,7,9,0,3,9,0,0,0,0,0,0,0,26,0,0,0
Ba,Al,44,0,6,51,8,13,10,53,32,12,3,3,11,17,4,2,2,8,0,1,0,3,0,0,0,53,0,0,0
Ba,Si,93,14,8,143,34,50,10,32,143,11,6,15,29,34,59,9,21,36,0,4,3,0,0,0,0,143,2,0,1
Ba,P,33,1,4,47,15,15,6,12,11,47,1,2,0,16,7,3,5,8,0,0,0,0,0,0,0,47,0,0,3
Ba,S,7,0,1,10,1,2,0,3,6,1,12,1,1,4,1,0,1,4,2,2,0,1,0,0,0,12,1,0,0
Ba,Cl,13,3,3,19,5,3,2,3,15,2,1,20,1,5,7,1,6,7,0,0,0,1,0,0,0,20,1,0,0
Ba,K,30,2,1,35,8,23,4,11,29,0,1,1,36,16,20,1,7,10,1,2,0,0,0,0,0,36,2,0,1
Ba,Ca,36,5,14,60,21,25,7,17,34,16,4,5,16,61,9,3,9,12,0,1,0,1,0,0,0,61,3,0,3
Ba,Ti,47,6,1,72,24,39,9,4,59,7,1,7,20,9,72,4,11,26,0,0,2,1,0,0,0,72,0,0,0
Ba,V,14,1,1,22,3,0,0,2,9,3,0,1,1,3,4,22,2,2,0,1,0,1,0,0,0,22,0,0,1
Ba,Mn,28,1,0,32,10,11,3,2,21,5,1,6,7,9,11,2,32,8,0,0,0,1,0,0,0,32,1,0,0
Ba,Fe,39,2,3,56,12,18,9,8,36,8,4,7,10,12,26,2,8,58,2,2,0,3,0,0,0,58,2,0,0
Ba,Ni,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,2,2,0,0,0,0,0,2,1,0,0
Ba,Cu,2,0,0,5,0,0,0,1,4,0,2,0,2,1,0,1,0,2,2,7,0,0,0,0,0,7,1,0,0
Ba,Zn,2,0,0,3,1,2,0,0,3,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,3,0,0,0
Ba,As,9,0,0,11,1,0,0,3,0,0,1,1,0,1,1,1,1,3,0,0,0,11,0,0,0,11,0,0,2
Ba,Se,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Ba,Ag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ba,Sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ba,Ba,156,14,32,250,57,75,26,53,143,47,12,20,36,61,72,22,32,58,2,7,3,11,1,0,0,256,4,0,14
Ba,Pb,2,1,0,3,1,1,0,0,2,0,1,1,2,3,0,0,1,2,1,1,0,0,0,0,0,4,4,0,1
Ba,Bi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ba,U,14,0,0,14,0,2,0,0,1,3,0,0,1,3,0,1,0,0,0,0,0,2,1,0,0,14,1,0,14
Pb,H,229,5,27,228,7,6,8,29,30,30,49,41,5,18,4,15,21,44,1,59,28,46,7,2,4,2,229,5,28
Pb,B,5,7,3,7,3,0,2,0,4,0,0,3,1,2,0,0,1,0,0,0,0,0,0,0,0,1,7,0,0
Pb,C,27,3,34,34,1,2,3,4,7,0,8,7,0,2,0,0,2,1,0,5,0,0,0,0,0,0,34,0,1
Pb,O,228,7,34,360,15,12,9,33,49,36,74,82,11,32,10,25,34,65,1,73,36,62,13,4,17,3,360,6,34
Pb,F,7,3,1,15,20,2,1,3,3,2,3,7,1,5,1,0,1,1,0,0,1,0,0,1,0,1,20,0,1
Pb,Na,6,0,2,12,2,12,1,2,0,1,3,3,4,5,3,0,2,5,0,2,1,2,0,0,0,1,12,0,3
Pb,Mg,8,2,3,9,1,1,9,1,5,0,1,2,1,2,0,0,2,4,0,1,1,2,0,0,0,0,9,0,1
Pb,Al,29,0,4,33,3,2,1,34,11,7,9,4,1,9,0,1,3,7,0,6,1,3,0,0,1,0,34,0,1
Pb,Si,30,4,7,49,3,0,5,11,49,0,7,10,1,16,0,2,7,10,0,7,6,3,0,0,0,2,49,0,1
Pb,P,30,0,0,36,2,1,0,7,0,36,3,2,0,4,0,2,1,10,0,6,5,2,0,0,0,0,36,2,7
Pb,S,49,0,8,74,3,3,1,9,7,3,268,21,5,4,0,1,10,26,5,80,8,68,13,61,92,1,268,76,0
Pb,Cl,41,3,7,82,7,3,2,4,10,2,21,99,5,5,0,6,4,8,0,21,3,19,4,4,9,1,99,3,0
Pb,K,5,1,0,11,1,4,1,1,1,0,5,5,14,3,1,0,0,2,0,5,1,1,1,1,1,2,14,0,3
Pb,Ca,18,2,2,32,5,5,2,9,16,4,4,5,3,33,0,1,3,5,0,6,2,4,1,0,1,3,33,0,2
Pb,Ti,4,0,0,10,1,3,0,0,0,0,0,0,1,0,10,2,6,8,0,0,3,1,0,0,0,0,10,0,4
Pb,V,15,0,0,25,0,0,0,1,2,2,1,6,0,1,2,26,5,7,0,2,3,3,0,0,1,0,26,1,2
Pb,Mn,21,1,2,34,1,2,2,3,7,1,10,4,0,3,6,5,41,15,0,0,6,7,0,4,7,1,41,0,2
Pb,Fe,44,0,1,65,1,5,4,7,10,10,26,8,2,5,8,7,15,83,3,16,9,15,0,2,9,2,83,8,5
Pb,Ni,1,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,3,6,2,0,1,0,0,1,1,6,1,0
Pb,Cu,59,0,5,73,0,2,1,6,7,6,80,21,5,6,0,2,0,16,2,138,5,20,20,21,21,1,138,44,1
Pb,Zn,28,0,0,36,1,1,1,1,6,5,8,3,1,2,3,3,6,9,0,5,36,14,1,1,1,0,36,0,1
Pb,As,46,0,0,62,0,2,2,3,3,2,68,19,1,4,1,3,7,15,1,20,14,125,0,20,32,0,125,6,3
Pb,Se,7,0,0,13,0,0,0,0,0,0,13,4,1,1,0,0,0,0,0,20,1,0,31,3,0,0,31,18,1
Pb,Ag,2,0,0,4,1,0,0,0,0,0,61,4,1,0,0,0,4,2,0,21,1,20,3,70,35,0,70,27,0
Pb,Sb,4,0,0,17,0,0,0,1,0,0,92,9,1,1,0,1,7,9,1,21,1,32,0,35,103,0,103,15,0
Pb,Ba,2,1,0,3,1,1,0,0,2,0,1,1,2,3,0,0,1,2,1,1,0,0,0,0,0,4,4,0,1
Pb,Pb,229,7,34,360,20,12,9,34,49,36,268,99,14,33,10,26,41,83,6,138,36,125,31,70,103,4,594,94,34
Pb,Bi,5,0,0,6,0,0,0,0,0,2,76,3,0,0,0,1,0,8,1,44,0,6,18,27,15,0,94,94,2
Pb,U,28,0,1,34,1,3,1,1,1,7,0,0,3,2,4,2,2,5,0,1,1,3,1,0,0,1,34,2,34
Bi,H,44,0,0,43,0,1,1,1,1,11,4,2,0,2,0,5,0,10,1,8,0,14,1,0,0,0,5,44,7
Bi,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bi,C,0,0,3,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Bi,O,43,0,3,84,3,5,1,1,3,12,11,6,1,4,0,8,0,12,2,12,0,18,2,0,2,0,6,84,7
Bi,F,0,0,1,3,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Bi,Na,1,0,0,5,1,5,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0
Bi,Mg,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Bi,Al,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bi,Si,1,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
Bi,P,11,0,0,12,0,0,0,1,0,12,0,1,0,1,0,0,0,3,0,2,0,1,0,0,0,0,2,12,3
Bi,S,4,0,0,11,0,3,0,0,0,0,125,5,1,0,0,0,1,10,6,48,0,6,12,32,17,0,76,125,0
Bi,Cl,2,0,0,6,0,1,0,0,0,1,5,11,1,1,0,0,0,1,0,3,0,2,1,0,0,0,3,11,0
Bi,K,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Bi,Ca,2,0,2,4,1,0,0,0,0,1,0,1,0,4,0,0,0,1,0,2,0,1,0,0,0,0,0,4,0
Bi,Ti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bi,V,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,1,8,0
Bi,Mn,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Bi,Fe,10,0,0,12,0,0,1,0,1,3,10,1,1,1,0,0,0,21,0,10,0,5,0,1,6,0,8,21,0
Bi,Ni,1,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,1,0,3,0,0,1,0,1,9,0
Bi,Cu,8,0,0,12,0,1,0,0,0,2,48,3,1,2,0,2,0,10,1,67,0,4,16,13,7,0,44,67,0
Bi,Zn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bi,As,14,0,0,18,0,0,1,0,0,1,6,2,0,1,0,0,0,5,3,4,0,25,0,0,2,0,6,25,4
Bi,Se,1,0,0,2,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,16,0,0,32,4,0,0,18,32,0
Bi,Ag,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,1,0,13,0,0,4,37,7,0,27,37,0
Bi,Sb,0,0,0,2,0,0,0,0,0,0,17,0,0,0,0,0,0,6,1,7,0,2,0,7,20,0,15,20,0
Bi,Ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bi,Pb,5,0,0,6,0,0,0,0,0,2,76,3,0,0,0,1,0,8,1,44,0,6,18,27,15,0,94,94,2
Bi,Bi,44,0,3,84,4,5,1,1,3,12,125,11,1,4,0,8,1,21,9,67,0,25,32,37,20,0,94,241,7
Bi,U,7,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,7,7
U,H,279,0,40,279,10,37,23,20,19,52,59,2,28,59,13,22,7,22,4,18,4,35,7,0,0,14,28,7,279
U,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U,C,40,0,43,43,2,7,7,0,2,0,2,0,4,25,0,0,0,0,0,4,1,0,0,0,0,0,1,0,43
U,O,279,0,43,306,12,42,23,20,21,53,59,2,30,67,19,22,8,30,4,18,4,36,7,0,0,14,34,7,306
U,F,10,0,2,12,12,3,2,5,0,1,3,0,0,4,2,2,0,2,0,0,0,2,0,0,0,0,1,0,12
U,Na,37,0,7,42,3,42,2,1,3,2,20,1,6,11,2,1,1,2,0,0,0,1,1,0,0,2,3,0,42
U,Mg,23,0,7,23,2,2,23,0,2,2,5,0,1,5,0,0,0,1,0,1,0,4,0,0,0,0,1,0,23
U,Al,20,0,0,20,5,1,0,20,0,13,4,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,1,0,20
U,Si,19,0,2,21,0,3,2,0,21,0,0,0,3,7,0,0,0,0,0,1,0,0,0,0,0,1,1,0,21
U,P,52,0,0,53,1,2,2,13,0,53,3,0,3,10,0,1,2,6,0,3,0,1,0,0,0,3,7,3,53
U,S,59,0,2,59,3,20,5,4,0,3,59,1,9,3,0,2,2,7,1,2,1,0,0,0,0,0,0,0,59
U,Cl,2,0,0,2,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
U,K,28,0,4,30,0,6,1,0,3,3,9,0,30,8,0,3,1,1,0,0,0,2,0,0,0,1,3,0,30
U,Ca,59,0,25,67,4,11,5,0,7,10,3,0,8,67,6,3,0,5,0,3,1,4,1,0,0,3,2,0,67
U,Ti,13,0,0,19,2,2,0,0,0,0,0,0,0,6,19,5,4,11,0,0,1,1,0,0,0,0,4,0,19
U,V,22,0,0,22,2,1,0,2,0,1,2,0,3,3,5,22,4,5,0,1,1,0,0,0,0,1,2,0,22
U,Mn,7,0,0,8,0,1,0,0,0,2,2,0,1,0,4,4,8,4,0,0,1,0,0,0,0,0,2,0,8
U,Fe,22,0,0,30,2,2,1,1,0,6,7,0,1,5,11,5,4,30,0,0,1,3,0,0,0,0,5,0,30
U,Ni,4,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,4
U,Cu,18,0,4,18,0,0,1,0,1,3,2,0,0,3,0,1,0,0,0,18,0,2,3,0,0,0,1,0,18
U,Zn,4,0,1,4,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,0,0,1,0,4
U,As,35,0,0,36,2,1,4,2,0,1,0,0,2,4,1,0,0,3,3,2,1,36,0,0,0,2,3,4,36
U,Se,7,0,0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,7,0,0,1,1,0,7
U,Ag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U,Sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U,Ba,14,0,0,14,0,2,0,0,1,3,0,0,1,3,0,1,0,0,0,0,0,2,1,0,0,14,1,0,14
U,Pb,28,0,1,34,1,3,1,1,1,7,0,0,3,2,4,2,2,5,0,1,1,3,1,0,0,1,34,2,34
U,Bi,7,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,7,7
U,U,279,0,43,306,12,42,23,20,21,53,59,2,30,67,19,22,8,30,4,18,4,36,7,0,0,14,34,7,306
